id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL",Status,Author,Slug,Format,Template,Parent,Order,"Comment Status","Ping Status",hero_banner_0_background_image,_hero_banner_0_background_image,hero_banner_0_hero_title,hero_banner_0_hero_subtitle,_hero_banner_0_hero_subtitle,hero_banner_0_first_hero_button_label,_hero_banner_0_first_hero_button_label,hero_banner_0_first_hero_button_url,_hero_banner_0_first_hero_button_url,hero_banner_0_second_hero_button_label,_hero_banner_0_second_hero_button_label,hero_banner_0_second_hero_button_url,_hero_banner_0_second_hero_button_url,Template,"File URL","Site Logo","Retina Site Logo","Toll Free Phone","Regular Phone Number","Fax Number","Subscribe Form Shortcode","Information Links","Copyright Information","Hero Banner_background_image","Hero Banner_hero_title","Hero Banner_hero_subtitle","Hero Banner_first_hero_button_label","Hero Banner_first_hero_button_url","Hero Banner_second_hero_button_label","Hero Banner_second_hero_button_url","Products Section Title","Panel Background Image","Panel Title","Panel Text","Panel Button Label","Panel Button URL","Contact Us Title","Contact Us Subtitle","Contact Address Information","Contact Us Form Title","Contact Us Form Subtitle","Contact Form Shortcode",Company,"Address 1","Address 2",City,State/Province/Region,ZIP
2,"Helpful Information","We have complied the following information and forms to help you with your envelope ordering experience. Check this page frequently, as additional information will be posted as they become available.

&nbsp;
<div id=""slim-line""></div>
&nbsp;
<ul>
	<li><a href=""http://azenv.youareheremedia.com/wp-content/uploads/2013/04/STANDARD-ENVELOPE-SIZE-CHART.pdf"" target=""_blank"">Standard Envelope Size Chart</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/05/CREDIT_APPLICATION.pdf"" target=""_blank"">Credit Application</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2015/02/AZ-Resale-Form-5000.pdf"">AZ Resale Form 5000</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/05/CONVERTING_GUIDELINES.pdf"" target=""_blank"">Converting Guideline</a></li>
</ul>",,20130403,page,http://azenvelope.loc/helpful-information/,,,,,,,publish,1,helpful-information,,page-hudson.php,0,0,open,open,,,,,,,,,,,,,,page-hudson.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"View Samples","Thank you for viewing our samples page. Arizona Envelope offers several commercial envelope options, including multi-window envelopes. We also offer select printed envelopes using one, two or four colors. Contact us today for a quote on your next custom envelope order!

&nbsp;
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/2-Way-Remittance.jpg"" alt="""" border=""0"" />

2-Way Remittance

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/4-color.jpg"" alt="""" border=""0"" />
4-color

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Security-Strip.jpg"" alt="""" border=""0"" />
Security Strip

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Door-hanger.jpg"" alt="""" border=""0"" />
Door hanger

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Door-Key.jpg"" alt="""" border=""0"" />
Door Key

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Colored.jpg"" alt="""" border=""0"" />
Colored

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Expansion.jpg"" alt="""" border=""0"" />
Expansion

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Zipstick.jpg"" alt="""" border=""0"" />
Zipstick

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/InnerOffice-back.jpg"" alt="""" border=""0"" />
InnerOffice back

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/InnerOffice-front.jpg"" alt="""" border=""0"" />
InnerOffice front

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Latex.jpg"" alt="""" border=""0"" />
Latex

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Open-End.jpg"" alt="""" border=""0"" />
Open End

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Open-Side.jpg"" alt="""" border=""0"" />
Open Side

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Remittance.jpg"" alt="""" border=""0"" />
Remittance

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Clasp.jpg"" alt="""" border=""0"" />
Clasp

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/String-Button.jpg"" alt="""" border=""0"" />
String &amp; Button

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Tint.jpg"" alt="""" border=""0"" />
Tint

</div>
<div id=""sample-right"">

<img src=""/wp-content/themes/imagethemeresponsive/images/Window.jpg"" alt="""" border=""0"" />
Window

</div>
<div style=""clear: both;""></div>
<div id=""sample-left"">

<img src=""/wp-content/themes/imagethemeresponsive/images/First-class-Border-with-Zipstick.jpg"" alt="""" border=""0"" />
First Class Border with Zipstick
<div style=""clear: both;""></div>
</div>",,20130407,page,http://azenvelope.loc/samples/,,,,,,,publish,1,samples,,page-hudson.php,0,0,closed,open,,,,,,,,,,,,,,page-hudson.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Contact Us",,,20130414,page,http://azenvelope.loc/contact-us/,,,,,,,publish,1,contact-us,,template-contact.php,0,0,open,open,,,,,,,,,,,,,,template-contact.php,,,,,,,,,,,,,,,,,,,,,,,,,,"Do you have a question, comment or suggestion to pass along to us?","Please send us a message!",,"Arizona Envelope Company","7248 S. Harl Avenue",,Tempe,AZ,85283
38,"Layouts & Die Lines","Are you sending us preprinted stock that Arizona Envelope will die cut and convert into envelopes? You must use one of our Layouts when setting up your artwork.  Please see the following list of the most popular layouts.

&nbsp;
<div id=""slim-line""></div>
&nbsp;
<ul>
	<li><strong><a href=""/wp-content/uploads/diecuts/Die_Layout_Instructions.pdf"" target=""_blank"">Die Layout Instructions</a></strong></li>
	<li><strong><a href=""/wp-content/uploads/diecuts/Hobbs_Layout_Instructions.pdf"" target=""_blank"">Hobbs Layout Instructions</a></strong></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2016/02/9-Remittance-6up-on-23x35-Outside-Bleeds.pdf"">#9 Remittance 6up on 23x35 Outside Bleeds</a></li>
	<li><a href=""/wp-content/uploads/diecuts/10_1_Up_on_11_x_17_Outside_Bleed.pdf"" target=""_blank"">#10 1 Up on 11 x 17 Outside Bleed</a></li>
	<li><a href=""/wp-content/uploads/diecuts/10_2_Up_on_17_1-2_x_23_OutsideBleed.pdf"" target=""_blank"">#10 2 Up on 17 1-2 x 23 OutsideBleed</a></li>
	<li><a href=""/wp-content/uploads/diecuts/10_4_Up_on_19_x_25_Outside_Bleed.pdf"" target=""_blank"">#10 4 Up on 19 x 25 Outside Bleed</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2015/01/10_8_up_on_25_x_38_BLEED.pdf"">#10_8_up_on_25_x_38_BLEED</a></li>
	<li><a href=""/wp-content/uploads/diecuts/10_Open_Side_4_Up_on_20_x_28_Outside_Bleeds.pdf"" target=""_blank"">#10 Open Side 4 Up on 20 x 28 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2016/02/10-Open-Side-8-up-on-28x40-Outside-Bleeds.pdf"">#10 Open Side 8 up on 28x40 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/12/11-1up-12.5-x-19-Outside-Bleeds.pdf"">#11 1 Up on 12.5 x 19 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/04/6-x-9-Open-End-2-Up-on-19-x-25-Oustide-Bleed.pdf"">6 x 9 Open End 2 Up on 19 x 25 Oustide Bleed</a></li>
	<li><a href=""/wp-content/uploads/diecuts/6_x_9_Open_Side_1_Up_on_11-2_x_17_Outside_Bleed.pdf"" target=""_blank"">6 x 9 Open Side 1 Up on 11-2 x 17 Outside Bleed</a></li>
	<li><a href=""/wp-content/uploads/diecuts/9_x_12_Open_End_1_Up_on_17_1-2_x_23_Outside_Bleed.pdf"" target=""_blank"">9 x 12 Open End 1 Up on 17 1-2 x 23 Outside Bleed</a></li>
	<li><a href=""/wp-content/uploads/diecuts/9_x_12_Open_End_2_Up_on_23_x_35_Outside_Bleed.pdf"" target=""_blank"">9 x 12 Open End 2 Up on 23 x 35 Outside Bleed</a></li>
	<li><a href=""/wp-content/uploads/diecuts/9_x_12_Open_Side_1_Up_on_17_1-2_x_23_Outside_Bleed.pdf"" target=""_blank"">9 x 12 Open Side 1 Up on 17 1-2 x 23 Outside Bleed</a></li>
	<li><a href=""/wp-content/uploads/diecuts/9_x_12_Open_Side_2_Up_on_23_x_35_Outside_Bleed.pdf"" target=""_blank"">9 x 12 Open Side 2 Up on 23 x 35 Outside Bleed</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/12/10-x-13-Open-End-1-up-17_5-x-23-Outside-Bleeds.pdf"">10 x 13 Open End 1 up 17_5 x 23 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/12/10-x-13-Open-End-2-up-on-23-x-35-Outside-Bleeds.pdf"">10 x 13 Open End 2 up on 23 x 35 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/12/10-x-13-Open-Side-1-Up-on-17_5-x-23-Outside-Bleeds.pdf"">10 x 13 Open Side 1 Up on 17_5 x 23 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/12/10-x-13-Open-Side-2-Up-on-23-x-35-Outside-Bleeds.pdf"">10 x 13 Open Side 2 Up on 23 x 35 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2016/02/A-6-2up-on-12-x-18-Outside-Bleeds.pdf"">A-6 2up on 12 x 18 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/12/A-7-4-Up-on-19x25-Outside-Bleeds.pdf"">A-7 4 Up on 19x25 Outside Bleeds</a></li>
	<li><a href=""http://azenvelope.loc/wp-content/uploads/2013/12/A-7-4-Up-on-19x25-Outside-Bleeds-Machine-Insertable.pdf"">A-7 4 Up on 19x25 Outside Bleeds Machine Insertable</a></li>
</ul>
&nbsp;
<div id=""slim-line""></div>
&nbsp;

If you do not see the layout you need, please contact us and we will get it for you.  Here is the information we will need to produce your layout:
1. What sheet size you are printing on?  2. How many up you will print?  3. Are there any outside or inside bleeds?",,20150120,page,http://azenvelope.loc/die-lines/,,,,,,,publish,1,die-lines,,page-rightbar.php,0,0,open,closed,,,,,,,,,,,,,,page-rightbar.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Frequently Asked Questions",,,20130415,page,http://azenvelope.loc/frequently-asked-questions/,,,,,,,publish,1,frequently-asked-questions,,page-hudson.php,0,0,closed,closed,,,,,,,,,,,,,,page-hudson.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Equipment,"<strong>Rotary Automatic (RA)</strong> - High speed/capacity folding machine for commercial and small open side envelopes.  Has multiple window capabilities. Prints 2/1 flexo in line.

&nbsp;

<strong>Web feed RA</strong> - High speed/capacity folding machine for commercial and small open side envelopes.  Prints 2/1 flexo in line.  Can apply peel &amp; seal in line.  Has multiple window capabilities. Web feed gives the option of a lower cost alternative to die cut blanks.

&nbsp;

<strong>Wide Range</strong> - Small run folding machine for commercial and small open side envelopes. Has multiple window capabilities. Versatile for quick set ups on smaller runs.

&nbsp;

<strong>MO</strong> - Folding machine for large booklet open side and catalog open end envelopes. Prints 2/0 flexo in line. Can apply peel &amp; seal in line. Has multiple window capabilities.

&nbsp;

<strong>SO</strong> - Folding machine for very small open end and open side envelopes. Can apply latex seal gum.

&nbsp;

<strong>Latex</strong> - Applies latex seal to premanufactured envelopes for self sealing. Flap is extended.

&nbsp;

<strong>Clasp</strong> - Applies clasp to premanufactured envelopes for a resealable envelope. Flap is extended.

&nbsp;

<strong>Jet press</strong> - Lithographic quality printing on premanufactured envelopes. Up to 4 colors with perfecting capability (both face and back printing.)

&nbsp;

<strong>iJet press  -   </strong>Quality CMYK digital iJet printing on premanufactured envelopes and flat sheets.

&nbsp;

<strong>GTO/RYOBI press</strong> - Lithographic quality printing up to 4 colors for flat sheets.

&nbsp;

<strong>Diddie Web press - </strong> Lithographic quality printing up to 4 colors with perforating and numbering capabilities.

&nbsp;

&nbsp;",,20130415,page,http://azenvelope.loc/equipment/,,,,,,,publish,1,equipment,,page-rightbar.php,0,0,closed,closed,,,,,,,,,,,,,,page-rightbar.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Online Quote","Please tell us much as you can about your particular job requirements. We will have a representative contact you back.",,20130415,page,http://azenvelope.loc/online-quote/,,,,,,,publish,1,online-quote,,template-online-quote.php,0,0,closed,closed,,,,,,,,,,,,,,template-online-quote.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Products,"<div style=""padding-bottom: 20px;""></div>",,20150824,page,http://azenvelope.loc/products/,http://azenvelope.loc/wp-content/uploads/2015/08/Home_Button_1_update112015v2.jpg|http://azenvelope.loc/wp-content/uploads/2015/08/Home_Button_2_update112015v2.jpg|http://azenvelope.loc/wp-content/uploads/2015/08/aze-popular-env.jpg|http://azenvelope.loc/wp-content/uploads/2015/08/Home_Button_2.jpg|http://azenvelope.loc/wp-content/uploads/2015/08/Home_Button_1.jpg,Home_Button_1_update112015v2|Home_Button_2_update112015v2|aze-popular-env|Home_Button_2|Home_Button_1,,,,,publish,1,products,,default,0,0,closed,closed,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,Cart,[woocommerce_cart],,20150824,page,http://azenvelope.loc/cart/,,,,,,,publish,1,cart,,,0,0,closed,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Checkout,[woocommerce_checkout],,20150824,page,http://azenvelope.loc/checkout/,,,,,,,publish,1,checkout,,,0,0,closed,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
